generation,rank_1,rank_2,swapAccepted
981000,3,4,1
982000,1,4,1
983000,2,4,1
984000,1,4,1
985000,1,4,1
986000,2,3,1
987000,3,4,1
988000,2,4,1
989000,1,4,1
990000,3,4,1
991000,2,4,1
992000,3,4,1
993000,1,4,1
994000,3,4,1
995000,2,4,1
996000,1,4,1
997000,2,3,1
998000,3,4,1
999000,2,4,1
1000000,1,4,0
1001000,1,2,0
1002000,1,3,1
1003000,2,3,1
1004000,1,3,1
1005000,2,4,1
1006000,1,3,1
1007000,1,3,1
1008000,2,4,1
1009000,1,4,1
1010000,2,3,1
1011000,1,4,1
1012000,1,3,1
1013000,2,3,1
1014000,1,3,1
1015000,2,4,1
1016000,1,2,1
1017000,1,4,1
1018000,2,4,1
1019000,1,3,1
1020000,2,3,1
1021000,1,4,0
1022000,1,3,1
1023000,2,4,1
1024000,2,4,1
1025000,3,4,1
1026000,3,4,1
1027000,3,4,1
1028000,1,4,1
1029000,2,4,1
1030000,1,3,1
1031000,1,4,1
1032000,2,4,1
1033000,1,2,1
1034000,2,3,1
1035000,1,4,1
1036000,1,4,1
1037000,1,2,1
1038000,1,2,1
1039000,3,4,1
1040000,1,4,1
1041000,1,3,1
1042000,1,2,1
1043000,1,2,1
1044000,1,2,1
1045000,2,3,1
1046000,1,4,1
1047000,1,2,1
1048000,1,3,0
1049000,1,4,1
1050000,1,4,1
1051000,1,4,1
1052000,1,4,1
1053000,2,3,1
1054000,2,3,1
1055000,2,3,1
1056000,3,4,1
1057000,1,2,1
1058000,2,4,1
1059000,2,3,1
1060000,1,2,1
1061000,1,4,1
1062000,2,3,1
1063000,2,4,1
1064000,3,4,1
1065000,2,3,1
1066000,2,3,1
1067000,1,4,1
1068000,1,2,1
1069000,1,4,1
1070000,1,2,1
1071000,1,3,1
1072000,1,4,1
1073000,2,4,1
1074000,1,3,0
1075000,1,4,0
1076000,1,3,1
1077000,1,3,1
1078000,2,4,1
1079000,1,3,1
1080000,1,3,1
1081000,1,3,1
1082000,2,4,1
1083000,1,4,0
1084000,1,3,1
1085000,2,4,1
1086000,1,2,1
1087000,2,4,1
1088000,1,4,1
1089000,1,3,1
1090000,2,3,1
1091000,1,4,0
1092000,1,4,1
1093000,2,3,1
1094000,1,4,1
1095000,3,4,1
1096000,1,2,1
1097000,1,3,1
1098000,2,3,1
1099000,3,4,1
1100000,2,4,1
1101000,1,3,1
1102000,2,3,1
1103000,2,3,1
1104000,1,2,1
1105000,1,3,1
1106000,1,2,1
1107000,1,2,1
1108000,1,2,1
1109000,2,3,1
1110000,3,4,1
1111000,2,4,1
1112000,2,4,1
1113000,2,3,1
1114000,2,4,1
1115000,3,4,0
1116000,3,4,1
1117000,2,4,1
1118000,2,3,1
1119000,2,3,1
1120000,3,4,0
1121000,2,3,1
1122000,3,4,1
1123000,1,4,1
1124000,3,4,1
1125000,2,4,1
1126000,1,2,0
1127000,2,3,1
1128000,1,2,1
1129000,2,3,0
1130000,1,2,1
1131000,1,3,1
1132000,2,3,1
1133000,1,3,1
1134000,2,4,1
1135000,2,4,1
